time_stamp,load_gross_real_power_kW
2023-03-01 00:00:59.414075-08:00,10.799999999999995
2023-03-01 01:01:05.346818-08:00,13.4
2023-03-01 02:01:11.296039-08:00,19.3
2023-03-01 03:01:17.505045-08:00,13.099999999999998
2023-03-01 04:01:23.265956-08:00,10.7
2023-03-01 05:01:29.041196-08:00,11.0
2023-03-01 06:01:34.743698-08:00,20.0
2023-03-01 07:01:40.880617-08:00,22.0
2023-03-01 08:01:47.081732-08:00,40.234
2023-03-01 09:01:52.989440-08:00,39.994
2023-03-01 10:01:59.028470-08:00,45.098
2023-03-01 11:02:04.788005-08:00,42.648
2023-03-01 12:02:10.957699-08:00,39.648
2023-03-01 13:02:17.236598-08:00,35.249
2023-03-01 14:02:23.107946-08:00,35.637
2023-03-01 15:02:29.034393-08:00,29.582
2023-03-01 16:02:35.250044-08:00,32.747
2023-03-01 17:02:41.139136-08:00,23.354
2023-03-01 18:02:46.948849-08:00,28.0
2023-03-01 19:02:56.674066-08:00,20.0
2023-03-01 20:03:02.672756-08:00,23.0
2023-03-01 21:03:08.509527-08:00,12.9
2023-03-01 22:03:14.881657-08:00,22.3
2023-03-01 23:03:20.047896-08:00,11.2
2023-03-02 00:01:00.033833-08:00,10.2
2023-03-02 01:01:05.796617-08:00,12.2
2023-03-02 02:01:12.279208-08:00,19.3
2023-03-02 03:01:17.747561-08:00,13.3
2023-03-02 04:01:24.045301-08:00,18.3
2023-03-02 05:01:29.856414-08:00,12.0
2023-03-02 06:01:35.828511-08:00,27.0
2023-03-02 07:01:41.908164-08:00,35.0
2023-03-02 08:01:47.938988-08:00,21.083
2023-03-02 09:01:53.851866-08:00,49.489
2023-03-02 10:01:59.932106-08:00,25.842
2023-03-02 11:02:05.785851-08:00,26.417
2023-03-02 12:02:11.697570-08:00,26.304
2023-03-02 13:02:17.631496-08:00,35.21
2023-03-02 14:02:23.574367-08:00,25.703
2023-03-02 15:02:29.540163-08:00,36.488
2023-03-02 16:02:35.764649-08:00,28.519
2023-03-02 17:02:41.676524-08:00,34.162
2023-03-02 18:02:47.397523-08:00,33.0
2023-03-02 19:02:53.827237-08:00,32.0
2023-03-02 20:02:59.778381-08:00,34.0
2023-03-02 21:03:05.824470-08:00,9.0
2023-03-02 22:03:11.586504-08:00,10.2
2023-03-02 23:03:17.554086-08:00,20.0
2023-03-03 00:00:58.344373-08:00,11.0
2023-03-03 01:01:04.338125-08:00,23.0
2023-03-03 02:01:10.317945-08:00,8.0
2023-03-03 03:01:16.087724-08:00,15.0
2023-03-03 04:01:22.348028-08:00,7.0
2023-03-03 05:01:28.124103-08:00,8.0
2023-03-03 06:01:33.870242-08:00,16.0
2023-03-03 07:01:40.083297-08:00,8.0
2023-03-03 08:01:45.860487-08:00,17.126
2023-03-03 09:01:51.716163-08:00,26.504
2023-03-03 10:01:03.279996-08:00,29.87
2023-03-03 11:01:06.510209-08:00,25.08
2023-03-03 12:01:09.795161-08:00,27.651
2023-03-03 13:01:13.057360-08:00,34.027
2023-03-03 14:01:16.473111-08:00,24.024
2023-03-03 15:01:19.438674-08:00,53.225
2023-03-03 16:01:22.751261-08:00,37.588
2023-03-03 17:01:25.973070-08:00,26.479
2023-03-03 18:01:28.733182-08:00,21.0
2023-03-03 19:01:32.015461-08:00,22.0
2023-03-03 20:01:35.675873-08:00,12.0
2023-03-03 21:01:39.015740-08:00,18.0
2023-03-03 22:01:42.198891-08:00,15.0
2023-03-03 23:01:45.151679-08:00,12.0
2023-03-04 00:00:58.231940-08:00,17.0
2023-03-04 01:01:01.143690-08:00,7.0
2023-03-04 02:01:04.332016-08:00,8.0
2023-03-04 03:01:07.545982-08:00,8.0
2023-03-04 04:01:10.467656-08:00,9.0
2023-03-04 05:01:13.576292-08:00,28.0
2023-03-04 06:01:15.947894-08:00,13.0
2023-03-04 07:01:18.836637-08:00,27.081
2023-03-04 08:01:21.697267-08:00,15.506
2023-03-04 09:01:25.220131-08:00,18.915
2023-03-04 10:01:32.487723-08:00,26.227
2023-03-04 11:01:35.119548-08:00,27.463
2023-03-04 12:01:37.996976-08:00,26.751
2023-03-04 13:01:40.821615-08:00,16.216
2023-03-04 14:01:43.656847-08:00,28.769
2023-03-04 15:01:46.391285-08:00,26.13
2023-03-04 16:01:49.771940-08:00,15.598
2023-03-04 17:01:52.817465-08:00,28.341
2023-03-04 18:01:56.063471-08:00,18.0
2023-03-04 19:01:58.611790-08:00,7.0
2023-03-04 20:02:01.855690-08:00,10.0
2023-03-04 21:02:05.247243-08:00,8.0
2023-03-04 22:02:08.389313-08:00,10.3
2023-03-04 23:02:11.647040-08:00,7.3
2023-03-05 00:00:54.870389-08:00,17.0
2023-03-05 01:00:57.998632-08:00,8.0
2023-03-05 02:01:00.622882-08:00,7.0
2023-03-05 03:01:04.141945-08:00,9.0
2023-03-05 04:01:07.066145-08:00,8.0
2023-03-05 05:01:10.245378-08:00,19.0
2023-03-05 06:01:12.912194-08:00,20.0
2023-03-05 07:01:16.064470-08:00,21.026
2023-03-05 08:01:19.140242-08:00,31.339
2023-03-05 09:01:22.036810-08:00,16.76
2023-03-05 10:01:25.516905-08:00,15.127
2023-03-05 11:01:28.723009-08:00,17.921
2023-03-05 12:01:15.912427-08:00,31.744
2023-03-05 13:01:18.836928-08:00,35.055
2023-03-05 14:01:22.018224-08:00,15.366
2023-03-05 15:01:25.154142-08:00,26.853
2023-03-05 16:01:27.969823-08:00,16.042
2023-03-05 17:01:30.851868-08:00,32.417
2023-03-05 18:01:33.788555-08:00,25.0
2023-03-05 19:01:36.843686-08:00,38.0
2023-03-05 20:01:39.502889-08:00,10.1
2023-03-05 21:01:42.702812-08:00,9.0
2023-03-05 22:01:45.347371-08:00,9.0
2023-03-05 23:01:48.247050-08:00,11.0
2023-03-06 00:00:56.754150-08:00,9.0
2023-03-06 01:01:00.321870-08:00,8.0
2023-03-06 02:01:03.097762-08:00,10.0
2023-03-06 03:01:06.494060-08:00,9.0
2023-03-06 04:01:09.136013-08:00,8.0
2023-03-06 05:01:11.910805-08:00,23.0
2023-03-06 06:01:14.888782-08:00,13.9
2023-03-06 07:01:17.804588-08:00,15.1
2023-03-06 08:01:20.430161-08:00,33.757
2023-03-06 09:01:25.819898-08:00,36.528
2023-03-06 10:01:29.022547-08:00,30.76
2023-03-06 11:01:32.497234-08:00,29.1
2023-03-06 12:01:37.733836-08:00,25.605
2023-03-06 13:01:41.609657-08:00,26.101
2023-03-06 14:01:44.991185-08:00,38.022
2023-03-06 15:01:49.297413-08:00,26.902
2023-03-06 16:01:53.327533-08:00,23.305
2023-03-06 17:01:57.493192-08:00,24.630000000000003
2023-03-06 18:02:01.052806-08:00,32.2
2023-03-06 19:02:05.712892-08:00,33.2
2023-03-06 20:02:09.765055-08:00,12.200000000000005
2023-03-06 21:02:12.259784-08:00,10.200000000000005
2023-03-06 22:02:16.512574-08:00,11.200000000000005
2023-03-06 23:02:19.204789-08:00,10.0
2023-03-07 00:00:58.982562-08:00,11.599999999999998
2023-03-07 01:01:03.155741-08:00,18.4
2023-03-07 02:01:06.859211-08:00,8.599999999999998
2023-03-07 03:01:11.445689-08:00,7.199999999999996
2023-03-07 04:01:14.645724-08:00,9.799999999999995
2023-03-07 05:01:19.074055-08:00,8.0
2023-03-07 06:01:22.657670-08:00,21.0
2023-03-07 07:01:27.537443-08:00,19.371
2023-03-07 08:01:33.477881-08:00,25.311
2023-03-07 09:01:37.267451-08:00,26.732
2023-03-07 10:01:41.506158-08:00,41.205
2023-03-07 11:01:45.793014-08:00,25.097
2023-03-07 12:01:49.665766-08:00,22.786
2023-03-07 13:01:53.110880-08:00,22.86
2023-03-07 14:01:57.080230-08:00,23.41
2023-03-07 15:02:01.327024-08:00,36.58
2023-03-07 16:01:31.279242-08:00,25.964
2023-03-07 17:01:34.223071-08:00,23.253
2023-03-07 18:01:37.310235-08:00,18.0
2023-03-07 19:01:40.456028-08:00,37.5
2023-03-07 20:01:42.487139-08:00,9.0
2023-03-07 21:01:44.885079-08:00,20.0
2023-03-07 22:01:47.603099-08:00,7.899999999999999
2023-03-07 23:01:49.789551-08:00,8.2
2023-03-08 00:00:56.378201-08:00,8.2
2023-03-08 01:00:58.572115-08:00,7.4
2023-03-08 02:01:00.844122-08:00,13.3
2023-03-08 03:01:03.148812-08:00,12.2
2023-03-08 04:01:05.703355-08:00,10.2
